"id"|"station_name"|"fuel_type_code"|"owner_type_code"|"country"|"state"|"city"|"street_address"|"zip"|"open_date"|"updated_at"|"access_code"|"access_days_time"|"access_detail_code"|"cards_accepted"|"date_last_confirmed"|"expected_date"|"groups_with_access_code"|"maximum_vehicle_class"|"restricted_access"|"status_code"|"facility_type"|"station_phone"|"geocode_status"|"latitude"|"longitude"|"intersection_directions"|"plus4"|"bd_blends"|"cng_dispenser_num"|"cng_fill_type_code"|"cng_has_rng"|"cng_psi"|"cng_renewable_source"|"cng_total_compression"|"cng_total_storage"|"cng_vehicle_class"|"e85_blender_pump"|"ev_dc_fast_num"|"ev_level1_evse_num"|"ev_level2_evse_num"|"ev_network"|"ev_network_web"|"ev_other_evse"|"ev_pricing"|"ev_renewable_source"|"ev_workplace_charging"|"hy_is_retail"|"hy_status_link"|"lng_has_rng"|"lng_renewable_source"|"lng_vehicle_class"|"lpg_primary"|"ng_fill_type_code"|"ng_psi"|"ng_vehicle_class"|"rd_blended_with_biodiesel"|"rd_blends"|"rd_blends_fr"|"rd_max_biodiesel_level"|"nps_unit_name"|"access_days_time_fr"|"intersection_directions_fr"|"bd_blends_fr"|"groups_with_access_code_fr"|"ev_pricing_fr"
"36928"|"New London Parking Authority - Water Street Public Parking Garage"|"ELEC"|"LG"|"US"|"CT"|"New London"|"160 Water St"|"06320"|"2013-07-01"|"2025-02-12T00:16:32Z"|"public"|"Restricted to garage hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging"|""|"A ANDROID_PAY APPLE_PAY CREDIT D Debit M V"|"2024-04-14"|""|"Public"|"LD"|"False"|"E"|"PAY_GARAGE"|"860-443-1775"|"GPS"|"41.355486"|"-72.093784"|"Located outside off entrance from Water St and inside upon entering garage"|""|""|""|""|""|""|""|""|""|""|""|""|"2.0"|"4.0"|"Non-Networked"|""|"1 Conductive 120V"|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"38488"|"Clean Energy - Dillon Transport"|"LNG"|"P"|"US"|"TX"|"Dallas"|"4600 Irving Blvd"|"75247"|"2012-10-08"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"STANDALONE_STATION"|"866-809-4869"|"200-9"|"32.80764"|"-96.896592"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"39314"|"Super 8 - Ukiah"|"ELEC"|"P"|"US"|"CA"|"Ukiah"|"693 S Orchard Ave"|"95482"|"2011-05-15"|"2025-05-12T16:15:59Z"|"public"|"24 hours daily; guest use only"|"CALL"|"A Cash D M V"|"2025-05-12"|""|"Public - Call ahead"|"LD"|"True"|"E"|"HOTEL"|"707-468-8181"|"GPS"|"39.1458"|"-123.198497"|"Highway 101, Gobbi St exit"|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"|"Non-Networked"|""|""|"$10 per session"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Appeler à l'avance"|""
"40794"|"O'Hare Airport"|"ELEC"|"P"|"US"|"IL"|"Chicago"|"10000 W O'Hare Ave"|"60666"|"2011-02-11"|"2025-02-12T00:16:32Z"|"public"|"24 hours daily; pay lots"|"CREDIT_CARD_ALWAYS"|"A D M V"|"2024-09-12"|""|"Public - Credit card at all times"|"LD"|"False"|"E"|"AIRPORT"|"800-832-6352"|"GPS"|"41.97850582311076"|"-87.90328000006105"|"Located in lots A and F"|""|""|""|""|""|""|""|""|""|""|""|""|""|"6.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"41264"|"Greenville-Spartanburg International Airport - Parking Lot B"|"ELEC"|"SG"|"US"|"SC"|"Greer"|"1980 GSP Dr"|"29651"|"2011-09-01"|"2025-07-09T17:54:55Z"|"public"|"24 hours daily; pay lot"|"CREDIT_CARD_ALWAYS"|"A D M V"|"2023-06-12"|""|"Public - Credit card at all times"|"LD"|"False"|"E"|"AIRPORT"|"864-877-7426  864-662-4301"|"200-8"|"34.889453"|"-82.215505"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"42907"|"Elizabeth Parking Authority - J Christian Bollwage Garage"|"ELEC"|"LG"|"US"|"NJ"|"Elizabeth"|"37 Caldwell Pl"|"07201"|"2012-04-15"|"2023-02-14T15:54:11Z"|"public"|"Restricted to garage hours; pay lot"|"CREDIT_CARD_ALWAYS"|"M V"|"2023-02-13"|""|"Public - Credit card at all times"|"LD"|"True"|"E"|"PARKING_GARAGE"|"908-353-0949"|"200-9"|"40.663848"|"-74.216585"|"Located on lower level of garage"|""|""|""|""|""|""|""|""|""|""|""|""|""|"2.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"42927"|"The Green Parking Garage"|"ELEC"|"P"|"US"|"NC"|"Charlotte"|"435 S Tryon St"|"28202"|"2011-08-08"|"2023-02-14T15:54:11Z"|"public"|"Garage business hours; pay lot"|""|"Cash M V"|"2023-01-10"|""|"Public"|"LD"|"False"|"E"|"PAY_GARAGE"|"604-338-3232"|"200-9"|"35.223874"|"-80.846273"|"At S Tryon St and Levine Avenue of the Arts"|""|""|""|""|""|""|""|""|""|""|""|""|""|"6.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"43659"|"Clean Energy - Carlisle Flying J #708"|"LNG"|"P"|"US"|"PA"|"Carlisle"|"1501 Harrisburg Pike"|"17013"|"2014-01-28"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"200-9"|"40.23601"|"-77.122908"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43673"|"Clean Energy - Fort Worth South"|"LNG"|"P"|"US"|"TX"|"Fort Worth"|"1075 Everman Pkwy"|"76140"|"2024-10-22"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FuelMan M Speedway TCH Tchek V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"FLEET_GARAGE"|"866-809-4869"|"200-8"|"32.627591"|"-97.314361"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43676"|"Clean Energy - Laredo Flying J #730"|"LNG"|"P"|"US"|"TX"|"Laredo"|"1011 Beltway Pkwy"|"78045"|"2021-11-01"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy D FuelMan M V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"200-9"|"27.685401"|"-99.466117"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43677"|"Clean Energy - Mesquite"|"LNG"|"P"|"US"|"TX"|"Mesquite"|"3735 Forney Rd"|"75149"|"2016-01-19"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"200-9"|"32.789008"|"-96.652678"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43682"|"Clean Energy - Waco Flying J #739"|"LNG"|"P"|"US"|"TX"|"Waco"|"2409 S New Rd"|"76711"|"2015-01-22"|"2025-06-06T18:39:50Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp"|"2024-12-10"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"200-9"|"31.507287"|"-97.145928"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43718"|"Clean Energy - Mobile Pilot #302"|"LNG"|"P"|"US"|"AL"|"Theodore"|"6955 Theodore Dawes Rd"|"36582"|"2015-03-01"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M Speedway TCH V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"200-9"|"30.559106"|"-88.205383"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43724"|"Clean Energy - Winslow Flying J #612"|"LNG"|"P"|"US"|"AZ"|"Winslow"|"404 Transcon Ln"|"86047"|"2014-09-20"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"200-8"|"35.01643"|"-110.675005"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43725"|"Clean Energy - Coachella Indio"|"LNG"|"P"|"US"|"CA"|"Coachella"|"45-601 Dillon Rd"|"92236"|"2013-12-31"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FuelMan M Tchek V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRAVEL_CENTER"|"866-809-4869"|"GPS"|"33.718112"|"-116.169747"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"43727"|"Clean Energy - Fontana Truck Stop"|"LNG"|"P"|"US"|"CA"|"Fontana"|"14230 Valley Blvd"|"92335"|"2013-12-31"|"2025-09-12T21:23:31Z"|"public"|"24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card"|"CREDIT_CARD_ALWAYS"|"A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp"|"2025-09-12"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"TRUCK_STOP"|"866-809-4869"|"200-9"|"34.07117"|"-117.494601"|"LCNG station"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"True"|"NONE"|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"44159"|"City of Seattle - Seattle Center"|"ELEC"|"LG"|"US"|"WA"|"Seattle"|"516 Harrison St"|"98109"|"2011-12-01"|"2025-05-27T16:56:55Z"|"public"|"24 hours daily; parking fee"|"CREDIT_CARD_ALWAYS"|"A D M V"|"2024-11-06"|""|"Public - Credit card at all times"|"LD"|"False"|"E"|"MUNI_GOV"|"206-684-7340"|"200-8"|"47.622085"|"-122.347124"|"Located in the 5th Ave Garage"|""|""|""|""|""|""|""|""|""|""|""|""|""|"6.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"44849"|"Kwik Trip #870"|"LNG"|"P"|"US"|"WI"|"La Crosse"|"2002 Kwik Trip Way"|"54603"|"2012-05-10"|"2025-05-06T20:22:09Z"|"public"|"24 hours daily"|"CREDIT_CARD_ALWAYS"|"A D M V Voyager Wright_Exp"|"2023-12-13"|""|"Public - Credit card at all times"|"HD"|"False"|"E"|"CONVENIENCE_STORE"|"855-710-3800"|"200-9"|"43.851658"|"-91.226449"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"False"|""|"HD"|""|""|""|"HD"|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"45945"|"Ohana Honolulu Airport Hotel"|"ELEC"|"P"|"US"|"HI"|"Honolulu"|"3401 N Nimitz Hwy"|"96815"|"2012-06-30"|"2025-08-12T16:52:28Z"|"public"|"24 hours daily; guest use only"|"CALL"|"CREDIT D M V"|"2025-08-12"|""|"Public - Call ahead"|"LD"|"True"|"E"|"HOTEL"|"808-836-0661"|"200-9"|"21.336826"|"-157.917527"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2.0"|"Non-Networked"|""|""|"Free; parking fee $45 + tax per day"|"NONE"|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Appeler à l'avance"|""
"47175"|"Bill Cole Nissan"|"ELEC"|"P"|"US"|"KY"|"Ashland"|"2701 Winchester Ave"|"41101"|"2012-01-31"|"2025-02-12T00:16:32Z"|"public"|"Dealership business hours"|"CREDIT_CARD_ALWAYS"|"A CREDIT D M V"|"2024-02-12"|""|"Public - Credit card at all times"|"LD"|"False"|"E"|"CAR_DEALER"|"606-329-2288"|"200-9"|"38.472192"|"-82.626259"|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"|""|"1.0"|"Non-Networked"|""|""|"DCFC: $0.99 per session, $0.37 per kWh"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"47399"|"City of Columbus - City Hall"|"ELEC"|"LG"|"US"|"OH"|"Columbus"|"50 W Gay St"|"43215"|"2011-12-31"|"2025-07-11T20:11:15Z"|"public"|"24 hours daily; meter parking"|""|"Cash D M V"|"2023-07-11"|""|"Public"|"LD"|"False"|"E"|"MUNI_GOV"|"614-645-7602"|"200-9"|"39.963572"|"-83.0025"|"On Gay St near the corner of Front St"|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"47452"|"City of Columbus - Goodale Park"|"ELEC"|"LG"|"US"|"OH"|"Columbus"|"120 W Goodale St"|"43215"|"2016-10-07"|"2025-07-11T20:11:28Z"|"public"|"24 hours daily; meter parking"|""|"Cash D M V"|"2023-07-11"|""|"Public"|"LD"|"False"|"E"|"MUNI_GOV"|"614-645-3111"|"GPS"|"39.973748"|"-83.006367"|"Goodale St Between Park and Dennison St"|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
"48640"|"Ocean Lakes Family Campground"|"ELEC"|"P"|"US"|"SC"|"Myrtle Beach"|"6001 S Kings Hwy"|"29575"|"2011-07-21"|"2025-02-19T16:33:12Z"|"public"|"8am-6pm daily; must obtain visitor pass from the main office; Drivers must bring their own J1772 cordset for Level 1 charging"|"CREDIT_CARD_ALWAYS"|"Cash Checks D M V"|"2022-09-14"|""|"Public - Credit card at all times"|"MD"|"True"|"E"|"CAMPGROUND"|"843-238-5636"|"200-9"|"33.631596"|"-78.958897"|"Located at the intersection of Highway 544 & Bus 17"|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"|"1.0"|"Non-Networked"|""|""|"$10 per session"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"48836"|"Marcum Copp Barbieri DDS"|"ELEC"|"P"|"US"|"CA"|"San Luis Obispo"|"1129 Pacific St"|"93401"|"2012-07-01"|"2025-05-27T17:00:38Z"|"public"|"24 hours daily"|"CREDIT_CARD_ALWAYS"|"A D M V"|"2023-05-03"|""|"Public - Credit card at all times"|"LD"|"True"|"E"|"OFFICE_BLDG"|"805-541-8731"|"GPS"|"35.28059"|"-120.657"|"From Pacific St, turn right into the lot.  Charger is in the back."|""|""|""|""|""|""|""|""|""|""|""|""|""|"1.0"|"Non-Networked"|""|""|"Free for customers; $5 per hour for non-customers"|"SOLAR"|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public - Carte de crédit en tout temps"|""
"48864"|"City of Santa Fe - Railyard Parking Garage"|"ELEC"|"LG"|"US"|"NM"|"Santa Fe"|"503 Camino de la Familia"|"87501"|"2020-01-02"|"2025-02-12T00:16:32Z"|"public"|"Garage business hours; PayPal, Google Pay"|""|"APPLE_PAY CREDIT Debit"|"2025-01-13"|""|"Public"|"LD"|"False"|"E"|"MUNI_GOV"|"505-955-6581"|"GPS"|"35.68451"|"-105.948"|"2nd and 3rd space to the left as you drive in"|""|""|""|""|""|""|""|""|""|""|""|""|""|"2.0"|"Non-Networked"|""|""|"Free"|""|"False"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Public"|""
