id,stationName,fuelTypeCode,ownerTypeCode,country,state,city,streetAddress,zip,openDate,updatedAt,accessCode,accessDaysTime,accessDetailCode,cardsAccepted,dateLastConfirmed,expectedDate,groupsWithAccessCode,maximumVehicleClass,restrictedAccess,statusCode,facilityType,stationPhone,geocodeStatus,latitude,longitude,intersectionDirections,plus4,bdBlends,cngDispenserNum,cngFillTypeCode,cngHasRng,cngPsi,cngRenewableSource,cngTotalCompression,cngTotalStorage,cngVehicleClass,e85BlenderPump,evDcFastNum,evLevel1EvseNum,evLevel2EvseNum,evNetwork,evNetworkWeb,evOtherEvse,evPricing,evRenewableSource,evWorkplaceCharging,hyIsRetail,hyStatusLink,lngHasRng,lngRenewableSource,lngVehicleClass,lpgPrimary,ngFillTypeCode,ngPsi,ngVehicleClass,rdBlendedWithBiodiesel,rdBlends,rdBlendsFr,rdMaxBiodieselLevel,npsUnitName,accessDaysTimeFr,intersectionDirectionsFr,bdBlendsFr,groupsWithAccessCodeFr,evPricingFr,restricted_access_bool,ev_workplace_charging_bool,hy_is_retail_bool,lng_has_rng_bool
42907,Elizabeth Parking Authority - J Christian Bollwage Garage,ELEC,LG,US,NJ,Elizabeth,37 Caldwell Pl,7201,2012-04-15 00:00:00+00:00,2023-02-14 15:54:11+00:00,public,Restricted to garage hours; pay lot,CREDIT_CARD_ALWAYS,M V,2023-02-13 00:00:00+00:00,,Public - Credit card at all times,LD,True,E,PARKING_GARAGE,908-353-0949,200-9,40.664,-74.217,Located on lower level of garage,,,,,,,,,,,,,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,True,False,,
42927,The Green Parking Garage,ELEC,P,US,NC,Charlotte,435 S Tryon St,28202,2011-08-08 00:00:00+00:00,2023-02-14 15:54:11+00:00,public,Garage business hours; pay lot,,Cash M V,2023-01-10 00:00:00+00:00,,Public,LD,False,E,PAY_GARAGE,604-338-3232,200-9,35.224,-80.846,At S Tryon St and Levine Avenue of the Arts,,,,,,,,,,,,,,6.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
43659,Clean Energy - Carlisle Flying J #708,LNG,P,US,PA,Carlisle,1501 Harrisburg Pike,17013,2014-01-28 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,200-9,40.236,-77.123,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43673,Clean Energy - Fort Worth South,LNG,P,US,TX,Fort Worth,1075 Everman Pkwy,76140,2024-10-22 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FuelMan M Speedway TCH Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,FLEET_GARAGE,866-809-4869,200-8,32.628,-97.314,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43676,Clean Energy - Laredo Flying J #730,LNG,P,US,TX,Laredo,1011 Beltway Pkwy,78045,2021-11-01 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card,CREDIT_CARD_ALWAYS,A CleanEnergy D FuelMan M V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,200-9,27.685,-99.466,,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43677,Clean Energy - Mesquite,LNG,P,US,TX,Mesquite,3735 Forney Rd,75149,2016-01-19 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,200-9,32.789,-96.653,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43682,Clean Energy - Waco Flying J #739,LNG,P,US,TX,Waco,2409 S New Rd,76711,2015-01-22 00:00:00+00:00,2025-06-06 18:39:50+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,2024-12-10 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,200-9,31.507,-97.146,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43718,Clean Energy - Mobile Pilot #302,LNG,P,US,AL,Theodore,6955 Theodore Dawes Rd,36582,2015-03-01 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M Speedway TCH V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,200-9,30.559,-88.205,,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43724,Clean Energy - Winslow Flying J #612,LNG,P,US,AZ,Winslow,404 Transcon Ln,86047,2014-09-20 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,200-8,35.016,-110.675,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43725,Clean Energy - Coachella Indio,LNG,P,US,CA,Coachella,45-601 Dillon Rd,92236,2013-12-31 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FuelMan M Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRAVEL_CENTER,866-809-4869,GPS,33.718,-116.17,,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
43727,Clean Energy - Fontana Truck Stop,LNG,P,US,CA,Fontana,14230 Valley Blvd,92335,2013-12-31 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,TRUCK_STOP,866-809-4869,200-9,34.071,-117.495,LCNG station,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
44159,City of Seattle - Seattle Center,ELEC,LG,US,WA,Seattle,516 Harrison St,98109,2011-12-01 00:00:00+00:00,2025-05-27 16:56:55+00:00,public,24 hours daily; parking fee,CREDIT_CARD_ALWAYS,A D M V,2024-11-06 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,MUNI_GOV,206-684-7340,200-8,47.622,-122.347,Located in the 5th Ave Garage,,,,,,,,,,,,,,6.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,False,,
44849,Kwik Trip #870,LNG,P,US,WI,La Crosse,2002 Kwik Trip Way,54603,2012-05-10 00:00:00+00:00,2025-05-06 20:22:09+00:00,public,24 hours daily,CREDIT_CARD_ALWAYS,A D M V Voyager Wright_Exp,2023-12-13 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,CONVENIENCE_STORE,855-710-3800,200-9,43.852,-91.226,,,,,,,,,,,,,,,,,,,,,,,,False,,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,False
45945,Ohana Honolulu Airport Hotel,ELEC,P,US,HI,Honolulu,3401 N Nimitz Hwy,96815,2012-06-30 00:00:00+00:00,2025-08-12 16:52:28+00:00,public,24 hours daily; guest use only,CALL,CREDIT D M V,2025-08-12 00:00:00+00:00,,Public - Call ahead,LD,True,E,HOTEL,808-836-0661,200-9,21.337,-157.918,,,,,,,,,,,,,,,2.0,Non-Networked,,,Free; parking fee $45 + tax per day,NONE,False,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,True,False,,
47175,Bill Cole Nissan,ELEC,P,US,KY,Ashland,2701 Winchester Ave,41101,2012-01-31 00:00:00+00:00,2025-02-12 00:16:32+00:00,public,Dealership business hours,CREDIT_CARD_ALWAYS,A CREDIT D M V,2024-02-12 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,CAR_DEALER,606-329-2288,200-9,38.472,-82.626,,,,,,,,,,,,,1.0,,1.0,Non-Networked,,,"DCFC: $0.99 per session, $0.37 per kWh",,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,False,,
47399,City of Columbus - City Hall,ELEC,LG,US,OH,Columbus,50 W Gay St,43215,2011-12-31 00:00:00+00:00,2025-07-11 20:11:15+00:00,public,24 hours daily; meter parking,,Cash D M V,2023-07-11 00:00:00+00:00,,Public,LD,False,E,MUNI_GOV,614-645-7602,200-9,39.964,-83.002,On Gay St near the corner of Front St,,,,,,,,,,,,,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
47452,City of Columbus - Goodale Park,ELEC,LG,US,OH,Columbus,120 W Goodale St,43215,2016-10-07 00:00:00+00:00,2025-07-11 20:11:28+00:00,public,24 hours daily; meter parking,,Cash D M V,2023-07-11 00:00:00+00:00,,Public,LD,False,E,MUNI_GOV,614-645-3111,GPS,39.974,-83.006,Goodale St Between Park and Dennison St,,,,,,,,,,,,,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
48640,Ocean Lakes Family Campground,ELEC,P,US,SC,Myrtle Beach,6001 S Kings Hwy,29575,2011-07-21 00:00:00+00:00,2025-02-19 16:33:12+00:00,public,8am-6pm daily; must obtain visitor pass from the main office; Drivers must bring their own J1772 cordset for Level 1 charging,CREDIT_CARD_ALWAYS,Cash Checks D M V,2022-09-14 00:00:00+00:00,,Public - Credit card at all times,MD,True,E,CAMPGROUND,843-238-5636,200-9,33.632,-78.959,Located at the intersection of Highway 544 & Bus 17,,,,,,,,,,,,,1.0,1.0,Non-Networked,,,$10 per session,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,True,False,,
48836,Marcum Copp Barbieri DDS,ELEC,P,US,CA,San Luis Obispo,1129 Pacific St,93401,2012-07-01 00:00:00+00:00,2025-05-27 17:00:38+00:00,public,24 hours daily,CREDIT_CARD_ALWAYS,A D M V,2023-05-03 00:00:00+00:00,,Public - Credit card at all times,LD,True,E,OFFICE_BLDG,805-541-8731,GPS,35.281,-120.657,"From Pacific St, turn right into the lot.  Charger is in the back.",,,,,,,,,,,,,,1.0,Non-Networked,,,Free for customers; $5 per hour for non-customers,SOLAR,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,True,False,,
48864,City of Santa Fe - Railyard Parking Garage,ELEC,LG,US,NM,Santa Fe,503 Camino de la Familia,87501,2020-01-02 00:00:00+00:00,2025-02-12 00:16:32+00:00,public,"Garage business hours; PayPal, Google Pay",,APPLE_PAY CREDIT Debit,2025-01-13 00:00:00+00:00,,Public,LD,False,E,MUNI_GOV,505-955-6581,GPS,35.685,-105.948,2nd and 3rd space to the left as you drive in,,,,,,,,,,,,,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
50153,City of Pasadena - Los Robles Garage,ELEC,LG,US,CA,Pasadena,400 E Green St,91101,2012-11-27 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily; pay lot,,CREDIT,2025-06-06 00:00:00+00:00,,Public,LD,False,E,PARKING_GARAGE,626-744-7665,200-9,34.144,-118.142,,,,,,,,,,,,,,,6.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
50154,City of Pasadena - Plaza Las Fuentes,ELEC,LG,US,CA,Pasadena,135 N Los Robles Ave,91101,2012-11-27 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily; pay lot,,CREDIT,2025-06-06 00:00:00+00:00,,Public,LD,False,E,PARKING_GARAGE,626-744-7665,200-9,34.148,-118.142,,,,,,,,,,,,,,,4.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
50157,Best Western - Pepper Tree Inn,ELEC,P,US,CA,Santa Barbara,3850 State St,93105,2012-12-20 00:00:00+00:00,2025-06-06 18:42:11+00:00,public,24 hours daily; guest use only; 2 hour limit,,A Cash D Debit M V,2025-06-06 00:00:00+00:00,,Public,LD,True,E,HOTEL,805-687-5511,200-9,34.441,-119.749,,,,,,,,,,,,,,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,Public,,True,False,,
51602,Clean Energy - West Sacramento,LNG,P,US,CA,West Sacramento,4305 W Capitol Ave,95691,2014-12-15 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,STANDALONE_STATION,866-809-4869,GPS,38.577,-121.57,,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
51606,Clean Energy - Albany,LNG,P,US,GA,Albany,1540 Trailer Ln,31705,2014-10-31 00:00:00+00:00,2025-09-12 21:23:31+00:00,public,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,CREDIT_CARD_ALWAYS,A CleanEnergy Comdata D EFS FleetOne FuelMan M Speedway TCH Tchek V Voyager Wright_Exp,2025-09-12 00:00:00+00:00,,Public - Credit card at all times,HD,False,E,STANDALONE_STATION,866-809-4869,200-9,31.539,-84.103,,,,,,,,,,,,,,,,,,,,,,,,True,NONE,HD,,,,HD,,,,,,,,,Public - Carte de crédit en tout temps,,False,,,True
51697,Bob Boyd Ford,ELEC,P,US,OH,Lancaster,2840 N Columbus St,43130,2016-12-27 00:00:00+00:00,2025-02-12 00:16:32+00:00,public,24 hours daily,,CREDIT,2024-08-15 00:00:00+00:00,,Public,LD,True,E,CAR_DEALER,740-654-1122,200-9,39.746,-82.648,Located near the rear service door,,,,,,,,,,,,,,2.0,Non-Networked,,,Pay to use; rate unknown,,False,,,,,,,,,,,,,,,,,,Public,,True,False,,
51698,Beau Townsend Ford,ELEC,P,US,OH,Vandalia,1020 W National Rd,45377,2013-03-01 00:00:00+00:00,2025-06-12 15:35:17+00:00,public,24 hours daily,,CREDIT D M V,2023-10-12 00:00:00+00:00,,Public,LD,True,E,CAR_DEALER,800-998-9596,200-9,39.889,-84.217,,,,,,,,,,,,,4.0,,2.0,Non-Networked,,,DC: $0.52 per Kw,,False,,,,,,,,,,,,,,,,,,Public,,True,False,,
52642,City of Loveland - Civic Center,ELEC,LG,US,CO,Loveland,500 E 3rd St,80537,2013-08-01 00:00:00+00:00,2024-01-31 22:07:01+00:00,public,24 hours daily,CREDIT_CARD_ALWAYS,A D M V,2023-12-13 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,MUNI_GOV,970-962-3000,200-8,40.394,-105.07,South Side of Parking Lot,,,,,,,,,,,,,,2.0,Non-Networked,,,$0.20 per kWh,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,False,,
52644,City of Loveland - Public Library,ELEC,LG,US,CO,Loveland,300 Adams St,80537,2021-06-01 00:00:00+00:00,2024-01-31 22:07:01+00:00,public,24 hours daily,CREDIT_CARD_ALWAYS,A D M V,2023-12-13 00:00:00+00:00,,Public - Credit card at all times,LD,False,E,LIBRARY,970-962-3000,GPS,40.394,-105.069,SE Corner of Parking Lot,,,,,,,,,,,,,,2.0,Non-Networked,,,$0.20 per kWh,,False,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,False,False,,
52658,Saint Meinrad Archabbey,ELEC,P,US,IN,St. Meinrad,200 Hill Dr,47577,2013-08-01 00:00:00+00:00,2025-02-12 00:16:32+00:00,public,School business hours; call 812-357-6611 if you wish to make a reservation,,A Cash Checks D M V,2024-12-10 00:00:00+00:00,,Public,MD,False,E,SCHOOL,812-357-6611,200-8,38.166,-86.813,"From State Rd 62, turn south onto 6th St. The Guest House parking lot is on the left.",,,,,,,,,,,,,,2.0,Non-Networked,,,$1.50 per hour,,False,,,,,,,,,,,,,,,,,,Public,,False,False,,
