OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ModelYear,Make,Model,VehicleDescription,VehicleId,ComplaintsCount,RecallsCount,InvestigationCount,VehiclePicture
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,2026,HONDA,CR-V HYBRID HEV,2026 HONDA CR-V HYBRID SUV HEV FWD,20887,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,2026,HONDA,CR-V N/A,2026 HONDA CR-V SUV N/A AWD,20886,,,,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,2026,HONDA,CR-V N/A,2026 HONDA CR-V SUV N/A FWD,20885,,,,
5,5,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14272P085.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14272C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14273P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14273C013.wmv,5,5,5,4,Not Rated,0.143,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14291P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14291C013.wmv,Standard,No,No,2026,HONDA,HR-V N/A,2026 HONDA HR-V SUV N/A AWD,20890,,,,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,HONDA,HR-V N/A,2026 HONDA HR-V SUV N/A FWD,20889,,,,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10131P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10131C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10132P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10132C013.wmv,5,5,5,4,Not Rated,0.136,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10130P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10130C013.wmv,Standard,No,No,2026,HONDA,ODYSSEY N/A,2026 HONDA ODYSSEY PV N/A FWD,20893,,,,
5,5,4,5,https://static.nhtsa.gov/crashTest/images/2026/v15024P123.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15024C020.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15022P144.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15022C014.wmv,5,5,5,4,Not Rated,0.113,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15023P113.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v15023C014.wmv,Standard,No,No,2026,TOYOTA,CROWN HYBRID,2026 Toyota CROWN HYBRID 4 DR AWD,20839,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EC40 BEV,2026 VOLVO EC40 SUV BEV AWD,20870,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,HONDA,PASSPORT N/A,2026 HONDA PASSPORT SUV N/A AWD,20884,,,,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EC40 BEV,2026 VOLVO EC40 SUV BEV RWD,20869,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EX30 BEV,2026 VOLVO EX30 SUV BEV AWD,20868,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EX30 BEV,2026 VOLVO EX30 SUV BEV RWD,20867,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EX40 BEV,2026 VOLVO EX40 SUV BEV AWD,20872,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EX40 BEV,2026 VOLVO EX40 SUV BEV RWD,20871,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EX90 BEV,2026 VOLVO EX90 SUV BEV AWD,20883,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,EX90 BEV,2026 VOLVO EX90 SUV BEV RWD,20882,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,S90 MHEV,2026 VOLVO S90 4 DR MHEV AWD,20878,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2026,VOLVO,V90 CC MHEV,2026 VOLVO V90 CC SW MHEV AWD,20879,0.0,0.0,0.0,
5,4,5,4,,,5,5,5,,,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,,,Standard,No,No,2026,VOLVO,V60 CC MHEV,2026 VOLVO V60 CC SW MHEV AWD,20875,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10917P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10917C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10915P104.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v10915C013.wmv,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10916P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10916C013.wmv,Standard,No,No,2026,VOLVO,XC40 MHEV,2026 VOLVO XC40 SUV MHEV AWD,20874,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10917P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10917C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10915P104.JPG,https://static.nhtsa.gov/crashTest/videos/2026/v10915C013.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10916P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10916C013.wmv,Standard,No,No,2026,VOLVO,XC40 MHEV,2026 VOLVO XC40 SUV MHEV FWD,20873,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15060P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v15061P001.jpg,,5,5,5,4,Not Rated,0.13,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v15062P001.jpg,,Standard,No,No,2026,VOLVO,XC60 T8 PHEV,2026 VOLVO XC60 T8 SUV PHEV AWD,20877,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10977P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10977C019.mp4,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10978P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10978C013.mp4,5,5,5,4,Not Rated,0.147,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10980P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10980C014.mp4,Standard,No,No,2026,VOLVO,XC60 MHEV,2026 VOLVO XC60 SUV MHEV AWD,20876,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,ACURA,ADX,2025 Acura ADX SUV AWD,20785,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,ACURA,ADX,2025 Acura ADX SUV FWD,20784,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v14258P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14258C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v14261P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14261C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v14260P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14260C013.wmv,Standard,Standard,Standard,2025,ACURA,INTEGRA,2025 Acura INTEGRA 5 HB FWD,20067,0.0,0.0,0.0,https://static.nhtsa.gov/images/vehicles/BTL_55217_cc0640_032_SI.png
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,5,Not Rated,0.095,0.0,No Tip,Not Rated,,,Standard,Standard,Standard,2025,ACURA,INTEGRA TYPE-S,2025 Acura INTEGRA Type-S 5 HB FWD,20094,0.0,1.0,0.0,
Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v11661C013.MP4,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2025/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11662C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,ACURA,MDX,2025 Acura MDX SUV AWD,20069,11.0,2.0,1.0,https://static.nhtsa.gov/images/vehicles/55124_cc0640_032_SI.png
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v11661C013.MP4,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11662C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,ACURA,MDX,2025 Acura MDX SUV FWD,20068,11.0,2.0,1.0,https://static.nhtsa.gov/images/vehicles/BTL_55106_cc0640_032_GR.png
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10364C013.wmv,5,5,5,4,Not Rated,0.15,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10365C013.wmv,Standard,Standard,Standard,2025,ACURA,RDX,2025 Acura RDX SUV AWD,20118,19.0,1.0,0.0,
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10364C013.wmv,5,5,5,4,Not Rated,0.165,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10365C013.wmv,Standard,Standard,Standard,2025,ACURA,RDX,2025 Acura RDX SUV FWD,20117,19.0,1.0,0.0,
5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v11356P001.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11356C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11348P001.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11348C013.wmv,5,5,5,5,Not Rated,0.09,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11353P001.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11353C013.wmv,Standard,Standard,Standard,2025,ACURA,TLX,2025 Acura TLX 4 DR FWD,20098,2.0,1.0,1.0,
5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v11356P001.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11356C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11348P001.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11348C013.wmv,5,5,5,5,Not Rated,0.09,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11353P001.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11353C013.wmv,Standard,Standard,Standard,2025,ACURA,TLX,2025 Acura TLX 4 DR AWD,20099,2.0,1.0,1.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15181P001.jpg,,5,5,5,5,Not Rated,0.087,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15183P001.jpg,,Standard,Standard & Optional,Standard & Optional,2025,ACURA,ZDX,2025 Acura ZDX SUV AWD,20783,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15182P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15181P001.jpg,,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15183P001.jpg,,Standard,Standard & Optional,Standard & Optional,2025,ACURA,ZDX,2025 Acura ZDX SUV RWD,20782,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,ALFA,GIULIA,2025 Alfa Giulia 4 DR AWD,20818,1.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,ALFA,GIULIA,2025 Alfa Giulia 4 DR RWD,20817,1.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,ALFA,TONALE EAWD,2025 Alfa Tonale eAWD SUV AWD,20188,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,ALFA,STELVIO,2025 Alfa Stelvio SUV AWD,20187,0.0,1.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,AUDI,A3,2025 Audi A3 4 DR AWD,20841,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,AUDI,A3,2025 Audi A3 4 DR FWD,20840,1.0,0.0,0.0,
