state,city,zip,organization,contactFirstName,contactLastName,addressLine1,email,fax,phone1,cPSWeekEventFlag,lastUpdatedDate,mobileStationFlag,countiesServed,locationLatitude,locationLongitude
AZ,Tsaile,86556,Indian Health Services - Tsaile Health Center,JoAnn,Draper,Navajo Route 12 &64,,,928-724-3726,No,2017-06-29 18:48:32+00:00,No,Apache,,
AZ,Chinle,86503,Chinle Comprehensive Health Care Facility,Leslie,Yazzi,Highway 191,Geraldine.smith@ihs.gov,,928-674-7485,No,2017-06-29 18:44:07+00:00,No,Apache and Some parts of Navajo County,,
AZ,Pinon,86510,Pinon Health Center - Health Promotion,Tina,Yazzie,Route 4,tina.long@ihs.gov,,928-725-9704,No,2017-06-29 18:45:40+00:00,No,"Apache, and Navajo",,
AZ,Tuba City,86045,"Tuba City Regional Health Care Corp, - DEHS/OEH- General Services Building",Darlene,Yellowhair,E Birch Ave,,,928-283-2844,No,2015-09-04 17:35:08+00:00,No,,,
AZ,Sierra Vista,85635,Sierra Vista Fire Department,Diane,Mitchell,4127 Avenida Cochise,,,520-458-3319,No,2017-06-27 20:17:01+00:00,No,,31.533,-110.255
AZ,Green Valley,85622,Green Valley Fire District,Zack,Ruiz,1285 W Camino Encanto,,,520-625-9400,No,2013-08-06 21:40:47+00:00,No,"Pima, Santa Cruz",31.827,-111.01
AZ,Vail,85641,Rincon Valley Fire District - Station 2,Scott,Haller,14550 E Sands Ranch Road,ecornejo@rinconvalley.fd.org,,520-647-3760,No,2017-06-27 20:19:23+00:00,No,Pima,32.004,-110.684
AZ,Vail,85641,Rincon Valley Fire District - Station 1,Edward,Cornejo,8850 South Camino Loma Alta,ecornejo@rinconvalley.fd.org,,520-647-3760,No,2017-06-27 20:19:52+00:00,No,Pima,32.091,-110.688
AZ,Tucson,85746,Pascua Yaqui Health Dept-Injury Prev.,,,7490 S Camino de Oeste,,,520-879-6124,No,2013-08-06 21:46:54+00:00,No,,32.115,-111.063
AZ,Tucson,85756,Pima Community College,,,6680 S Country Club Road,,,520-206-2692,No,2017-06-29 15:45:44+00:00,No,,32.131,-110.927
AZ,Tucson,85735,Drexel Heights Fire District,,,5030 S Camino Verde,,,520-883-4341,No,2015-02-18 17:45:21+00:00,No,Pima,32.161,-111.107
AZ,Tucson,85714,Pima County Health Department,Estela,Garcia,175 W Irvington Rd,,,520-889-9543,No,2017-06-29 15:14:17+00:00,No,,32.163,-110.971
AZ,Tucson,85713,Child Protective Services,Cynthia,Richards,2750 S. 4th Avenue,crichards@azdes.gov,,520-620-3623,No,2008-08-19 17:38:00+00:00,No,Pima,32.191,-110.966
AZ,Tucson,85710,Tucson Police Department Child Assistance,Sue,Earley,7575 E Speedway Blvd,,,520-837-7232,No,2017-06-27 20:34:55+00:00,No,,32.236,-110.831
AZ,Tucson,85712,Tucson Medical Center Family Support Center-,,,5301 E Grant Road,,,520-324-2075,No,2017-06-29 14:43:48+00:00,No,,32.253,-110.878
AZ,Tucson,85705,Tucson Police Department - West,,,1310 W Miracle Mile Strip,,,520-791-4467,No,2017-06-27 20:38:15+00:00,No,,32.262,-110.993
AZ,Tucson,85743,Northwest Fire Rescue District,Veronica,Rubio,5225 W Massingale Road,vrunio@northwestfire.org,,520-887-1010 x5000,No,2017-06-29 15:16:55+00:00,No,Pima,32.344,-111.076
AZ,Marana,85653,Marana Police Department,Kevin,Litten,11555 W Civic Center Drive,,,520-382-2000,No,2017-06-27 20:20:47+00:00,No,Pima,32.448,-111.211
AZ,Tucson,85739,Golder Ranch Fire District,,,3885 E Golder Ranch Drive,,,520-825-9001,No,2017-06-29 15:16:04+00:00,No,,32.483,-110.911
AZ,Yuma,85364,Yuma County Health Department,,,2200 W. 28th Street,,,928-317-4667,No,2017-06-27 19:38:43+00:00,No,,32.677,-114.646
AZ,Yuma,85864,Yuma Police Department,Clay,Lawson,1500 S. 1st Avenue,,,928-373-4700,No,2017-06-29 15:46:45+00:00,No,,32.701,-114.621
AZ,Casa Grande,85122,Arizona Department of Public Safety - Casa Grande,,Heinrich,410 W Centennial Avenue,,,520- 836-1057,No,2017-06-27 13:32:02+00:00,No,,32.947,-111.758
AZ,Casa Grande,85122,Casa Grande Police Department,Jesus,Espino,373 E Val Vista Boulevard,,,520-421-8700,No,2017-06-27 13:30:18+00:00,No,,32.967,-111.749
AZ,Chandler,85225,Chandler Fire Dept - Administration,Jennifer,Jacobson,151 E Boston Street,,,480-782-2046,No,2017-06-27 15:05:38+00:00,No,,33.302,-111.839
AZ,Gilbert,85296,Gilbert Fire Department,Jean,Machnicki,85 E Civic Center Drive,jean.machnicki@gilbertaz.gov,,480-503-6300,No,2017-06-27 19:25:49+00:00,No,Maricopa,33.329,-111.788
AZ,Tempe,85282,Association for Supportive Child Care,,,3910 S Rural Rd,,,480-829-0500 x1233,No,2017-06-27 19:24:35+00:00,No,Maricopa,33.387,-111.927
AZ,Mesa,85202,Banner Childrens Center,,,1400 S Dobson Rd,,,480-230-2273,No,2015-02-18 19:08:44+00:00,No,Maricopa,33.388,-111.876
AZ,Apache Junction,85119,Apache Junction Super Station Fire Medical District,Tina,Gerola,3700 E 16th Avenue,tina_gerola@ajfd.org,,480-982-1299 ext.104,No,2017-06-27 13:29:33+00:00,No,Pinal and Maricopa,33.401,-111.512
AZ,Globe,85501,Gila County Health Department,Paula,Horn,5515 S Apache Avenue,phorn@co.gila.az.us,,928-402-8813,No,2017-06-27 20:12:22+00:00,No,Gila,33.413,-110.811
AZ,Tempe,85280,Tempe Fire Department,Monique,Bonfiglio,1400 E. Apache Boulevard,,,480-858-7230,No,2017-06-27 19:22:14+00:00,No,,33.415,-111.915
AZ,Mesa,85201,Mesa Fire Department,,,13 West First Street,,,480-644-2200,No,2017-06-27 13:35:23+00:00,No,,33.417,-111.832
AZ,Tempe,85281,Southwest Car Care Collision,Victoria,Huitt,622 S. Hacienda Drive,,,480-968-5915,No,2017-06-27 19:23:08+00:00,No,,33.424,-111.907
AZ,Phoenix,85034,City of Phoenix Fire Department,Jay,Arthur,150 S. 12th Street,jay.a.arthur@phoenix.gax,,602-534-3920,No,2017-06-27 13:27:13+00:00,No,Maricopa - Phoenix Only,33.446,-112.058
AZ,Phoenix,85003,Phoenix Police Department-Child Safety Seat Hotline,Mike,Warren,620 W Washington Street,,,602- 534-8687,No,2017-06-27 13:08:17+00:00,No,,33.449,-112.082
AZ,Goodyear,85338,Goodyear Fire Department,Tanja,Tanner,14455 W Van Buren Street,,,623-882-SEAT,No,2017-06-27 19:31:53+00:00,No,,33.449,-112.37
AZ,Maricopa,85010,Maricopa Medical Center Car Seat Program,Laura,Aranda,2601 E. Roosevelt,,,602- 344-5364,No,2017-06-27 13:11:54+00:00,No,,33.458,-112.026
AZ,Avondale,85392,Avondale Fire Department,,,1825 N 107th Ave,,,623-333-6112,No,2017-06-27 20:11:03+00:00,No,,33.465,-112.29
AZ,Phoenix,85016,Phoenix Children's Hospital - Center for Family Health and Safety,Blanca,Villaseñor,1919 E Thomas Rd,,,6029333350,No,2019-01-11 22:32:07+00:00,No,,33.479,-112.04
AZ,Phoenix,85016,Hi-Tech Car Care,James,Garnand,2924 E. Thomas Road,,,602-224-0941,No,2017-06-27 13:24:57+00:00,No,,33.48,-112.019
AZ,Scottsdale,85256,Salt River Police Department,Rodman,Lasley,10005 E. Osborn Road,,,480-850-8200,No,2017-06-27 19:18:54+00:00,No,,33.488,-111.865
AZ,Phoenix,85012,"Maricopa County Department of Public Health, Office of Health Promo. & Educ",Mónica,Falcón,4041 N Central Avenue,,,602-506-6850,No,2017-06-27 13:13:43+00:00,No,,33.494,-112.073
AZ,Scottsdale,85251,Scottsdale Fire Department,Lori,Schmidt,8401 E Indian School Rd,lschmidt@scottsdaleaz.gov,,480-312-BABY (2229),No,2017-06-27 19:05:51+00:00,No,,33.494,-111.899
AZ,Mesa,85206,Maricopa County Dept of Public Health-OHPE,Zoraida,Ettrick,1825 E. Indian School Road,,,480-832-8972,No,2017-06-27 13:48:09+00:00,No,,33.495,-112.042
AZ,Luke Air Force Base,85309,Luke Air Force Base,Doug,Smith,7222 N Fighter Country Ave,,,623-856-6641,No,2017-06-27 19:26:42+00:00,No,Maricopa,33.54,-112.365
AZ,Peoria,85345,Peoria Police Department,,,8351 West Cinnabar Avenue,,,623-773-5055,No,2017-06-27 19:37:39+00:00,No,Maricopa,33.575,-112.24
AZ,Peoria,85345,Peoria Fire Department,Jeff,Johnson,8351 W Cinnabar Ave,,,623-773-7279 then 3,No,2017-06-27 19:34:00+00:00,No,Maricopa,33.575,-112.24
AZ,Fort McDowell,85264,Fort McDowell Tribal Police,Stephanie,Beebe,10755 N Fort McDowell Rd,,,(480) 837-1091,No,2017-06-27 19:20:52+00:00,No,,33.586,-111.68
AZ,Scottsdale,85254,Lani Car Seat,Lani,Harrison,7043 E Redfield Rd,Lanicarseat@gmail.com,,(781) 492-6043,No,2022-01-21 15:45:35+00:00,No,,33.614,-111.928
AZ,Surprise,85374,Surprise Police Department - Citizens Patrol,,,14250 W Statler Plaza,,,623-222-4277,No,2017-06-27 20:07:16+00:00,No,,33.629,-112.366
AZ,Surprise,85374,Surprise Fire Medical Department,Renee,Hamblin,14250 W Statler Plaza,,,623-222-5000,No,2017-06-27 19:41:14+00:00,No,Maricopa,33.629,-112.366
AZ,Sun City,85373,Sun City Fire Department,Mary,Dickinson,18602 N 99th Avenue,,,623-974-2321,No,2017-06-27 19:39:23+00:00,No,Maricopa,33.653,-112.279
AZ,Sun City West,85375,Sun City West Fire District,,,18818 North Spanish Garden Drive,,,623-584-3500,No,2017-06-27 20:09:34+00:00,No,Maricopa,33.655,-112.355
AZ,Wittmann,85361,Wittmann Fire District,,,20303 W Patton Road,,,623-388-2814,No,2017-06-27 19:36:14+00:00,No,Maricopa,33.739,-112.499
AZ,Pinetop,85935,Pinetop Fire Department,Kelly S.,Wood,1845 S. Pinelake Road,,,928-367-2199,No,2017-06-29 15:49:14+00:00,No,,34.124,-109.927
AZ,Parker,85344,La Paz County Public Health Education & Prevention Program,Martha,Duran,601 Riverside Drive,,,928-669-1062,No,2017-06-27 19:32:50+00:00,No,La Paz,34.15,-114.284
AZ,Lakeside,85929,Timber Mesa Fire and Medical,J. Kirk,Webb,2922 W White Mountain Boulevard,,,928-368-6112,No,2017-06-29 15:48:27+00:00,No,,34.163,-109.986
AZ,Show Low,85901,Navajo County Public Health,Shauna,Clements,600 N 9th Pl,amy_stradling@navajocounty.az.gov,,928-532-6050 x5548,No,2017-06-29 15:47:39+00:00,No,Navajo County Residents Only,34.255,-110.032
AZ,Camp Verde,86322,Camp Verde Fire District,Kristi,Gagnon,26 W Salt Mine Road,,,928-567-6335,No,2017-06-29 17:36:01+00:00,No,,34.555,-111.855
AZ,Cottonwood,86326,Verde Valley Fire District - Station 31,,,2700 Godard Road,,,928-634-2578,No,2011-06-08 17:13:06+00:00,No,,34.704,-111.99
AZ,Cornville,86325,Verde Valley Fire District - Station 32,John,Grantham,1120 S Page Springs Road,,,928-634-1266,No,2017-06-29 17:37:03+00:00,No,,34.719,-111.904
AZ,Cottonwood,86326,Cottonwood Fire Department,Ben,Kramer,191 S 6th Street,,,928-634-2741,No,2017-06-29 18:40:25+00:00,No,,34.736,-112.023
AZ,Sedona,86336,Sedona Fire District,Gary,Johnson,2860 Southwest Drive,gjohnson@sedonafire.org,,928-282-6800,No,2017-06-29 18:41:51+00:00,No,"Yavapai, Coconino",34.864,-111.811
AZ,Holbrook,86025,Navajo County Public Health,Amy,Stradling,117 E Buffalo Street,,,928-524-4750,No,2017-06-29 15:51:03+00:00,No,Navajo Residents Only,34.904,-110.158
AZ,Winslow,86047,"Winslow Indian Health Care Center, Incorporated - Environmental Health",Amelia,Jensen,500 Indiana Avenue,,,928-289-6177,No,2017-06-29 17:34:53+00:00,No,"Apache, Coconino, Navajo",35.032,-110.715
AZ,Flagstaff,86004,Coconino County Health Department,Heather,Taylor,2625 N King Street,,,928-679-7262,No,2017-06-29 15:50:30+00:00,No,Coconino,35.214,-111.612
AZ,Williams,86046,Williams Police Department,Leah,Payne,501 W Route 66,emacrae@williamsarizona.gov,,928-635-4461,No,2013-08-06 21:48:43+00:00,No,"Coconino, Yavapai",35.249,-112.192
AZ,Second Mesa,86043,Hopi Resource Enforcement Services,,,CR-2,,,928-734-7340,No,2017-06-29 15:53:03+00:00,No,,35.853,-110.633
AR,Jacksonville,72076,Jacksonville Police Department,John,Boyd,1400 Marshall Road,jboyd@cityofjacksonville.net,,501-982-3191,No,2017-07-03 12:53:57+00:00,No,,,
AR,Crossett,71635,Ashley County Medical Center,Amanda,Autenreath,1015 Unity Road E,,,870-364-1226,No,2017-07-03 12:32:22+00:00,No,,33.138,-91.939
AR,Magnolia,71753,Magnolia Regional Medical Center,Mitzi,Ammons,101 Hospital Drive,,,870-235-3532,No,2017-07-03 12:34:42+00:00,No,Columbia,33.275,-93.239
AR,Texarkana,71854,Department of Human Service/Division of Children and Family,Kaytrana,Leaks,3809 Airport Plaza Dr,Kaytrana.Leaks@arkansas.gov,,870-773-0563 X10393,No,2013-10-30 19:22:29+00:00,No,,33.458,-94.001
AR,Hope,71801,Hope Police Department,Angela,Gammage,312 S Washington Street,angela.gammage@hpsdistrict.org,,870-777-3434,No,2017-07-03 12:37:46+00:00,No,,33.664,-93.599
AR,Dumas,71639,Delta Memorial Hospital,Sherry,Pennington,811 US-165,slp2007lpn@rocketmail.com,,870-382-4303,No,2017-07-03 12:33:05+00:00,No,Desha,33.866,-91.485
AR,Pine Bluff,71601,Department of Community Correction,Melva,Trask,7301 W 13th Avenue,melva.trask@arkansas.gov,,870-879-0661,No,2017-07-03 12:31:31+00:00,No,,34.216,-92.089
AR,Hot Springs National Park,71913,Arkansas Human Development Corporation/Early Head Start,D'Ann,Weatherford,102 College Dr,dweatherford@arkansasbabies.com,,501-620-4323,No,2017-07-03 12:42:58+00:00,No,,34.513,-93.121
AR,Bryant,72022,Bryant Police/Fire Department,Alisha,Vaughan,312 Roya Lane,avaughan@bryant911.com,,501-847-0211,No,2017-07-03 12:44:44+00:00,No,Saline,34.614,-92.501
AR,Clarendon,72029,"Mid-Delta Health Systems, Inc",Mary,Scemons,245 Madison St,,,(870)747-338,No,2017-07-03 12:46:37+00:00,No,,34.693,-91.313
AR,Little Rock,72202,University of Arkansas for Medical Sciences,Holly,Terry,1120 Marshall St,,,501- 364-2478,No,2017-07-06 12:54:53+00:00,No,Statewide,34.74,-92.292
AR,Little Rock,72202,Arkansas Childrens Hospital,Charles,Maxwell,1 Childrens Way,MaxwellCA@archildrens.org,,501-364-5655,No,2014-01-09 18:56:11+00:00,No,Pulaski and Statwide,34.743,-92.292
AR,Little Rock,72205,JCCSI/Parents As Teachers,Montoyia,Key,415 N McKinley Street,MKeyPAT@yahoo.com,,501-364-5451,No,2017-07-03 13:05:38+00:00,No,,34.756,-92.345
AR,Cabot,72023,Cabot Fire Department,Brandon,Tounzen,114 W Pine Street,btounzen@cabotar.gov,,501-941-3221,No,2017-07-03 12:45:43+00:00,No,,34.975,-92.016
AR,Searcy,72143,Searcy Fire Department,Lance,Oakes,501 W Beebe Capps Expressway,,,501-279-1066,No,2017-07-03 13:01:40+00:00,No,,35.243,-91.741
AR,Fort Smith,72901,Fort Smith Police Department,Michael,Moss,100 S 10th Street,info@forthsmithpd.org,,479-709-5000,No,2017-07-03 15:56:06+00:00,No,,35.383,-94.424
AR,Van Buren,72956,Van Buren Police Department,Jack,Robinson,111 S 11th Street,jrobinson@vanburencity.org,,479-747-1234,No,2017-07-03 15:57:06+00:00,No,"Crawford, Sebastian",35.435,-94.348
AR,Clinton,72031,Van Buren County Sheriff's Office,Clayton,Borecky,184 Detention Drive,clayton.borecky@shirley.k12.ar.us,,501-745-2112,No,2017-07-03 12:51:53+00:00,No,,35.57,-92.449
AR,Osceola,72370,Osceola Police Department,Johnny,Creecy,401 W Keiser Avenue,,,870-563-5213,No,2017-07-03 13:14:57+00:00,No,Mississipi,35.697,-89.971
AR,Jonesboro,72401,Dimensions CPS Program,Mike,Smith,2012 WIlkins Ave,msmith.safe@sbcglobal.net,,870-931-1111,No,2017-07-03 13:20:24+00:00,No,,35.825,-90.681
AR,Jonesboro,72401,Jonesboro Police Department,Doug,Formon,410 W Washington Avenue,dformon@jonesboro.org,,870-935-5562,No,2017-07-03 13:19:51+00:00,No,,35.839,-90.709
AR,Paragould,72450,Paragould Police Department,Todd,Stoval,101 N 3 1/2 Street,,,870-239-7564,No,2017-07-03 13:21:54+00:00,No,Green,36.056,-90.489
AR,Fayetteville,72701,Fayetteville Police Department,Craig,Stout,100 W Rock Street,police@ci.fayetteville.ar.us,,479- 587-3580,No,2017-07-03 15:46:34+00:00,No,"Benton, Madison,Carrol",36.061,-94.161
AR,Fayetteville,72703,Eggleston Chiropractic & Rehab,Blythe,Eggleston,3000 N Market Avenue,blytheggleston@yahoo.com,,479-575-0105,No,2017-07-03 15:53:05+00:00,No,"Washington, Benton, Maddison and Crawford",36.106,-94.143
AR,Springdale,72764,Springdale Police Department,Chad,Wilson,201 Spring Street,SpringdalePoliceDepartment@facebook.com,,479-756-8200,No,2017-07-03 15:55:14+00:00,No,Washington,36.187,-94.13
AR,Harrison,72601,Harrison Police Department,Leslie,Nichols,116 Spring Street S,,,870-741-5463,No,2017-07-03 13:28:03+00:00,No,,36.229,-93.11
AR,Pocahontas,72455,B.R.A.D. Child Development Programs,Melinda,Calhoun,1403 Hospital Drive,,,870-892-4547,No,2017-07-03 13:23:47+00:00,No,,36.254,-90.978
AR,Cherokee Village,72529,Spring River Paramedic Ambulance Service,Lyra,Huffine,4 Navajo Trace,businessoffice.srpas@gmail.com,,810-257-2044,No,2017-07-03 13:25:32+00:00,No,,36.312,-91.538
AR,Bentonville,72712,Benton County Sheriffs Office,Thomas,See,1300 SW 14th Street,,,479-271-1008,No,2017-07-03 15:54:14+00:00,No,"Benton, Washington",36.359,-94.229
AR,Salem,72576,Fulton County Hosptial,Wendy,Hearn,679 N Main Street,,,870-895-6068,No,2017-07-03 13:26:37+00:00,No,,36.384,-91.811
AR,Bentonville,72712,Benton County Detention Center,Naconna,Mitchell,1101 McCollum Dr,,,479-,No,2018-09-25 19:45:55+00:00,No,,36.385,-94.181
CA,Daly City,94015,Pro Car Seat Safety @ Buy Buy Baby,Jim,DeCarli,149 Serramonte Center,jim@procarseatsafety.com,,(323) 491-6197,No,2023-08-15 15:13:33+00:00,Yes,,,
CA,Goleta,93117,SBCO No. 17 - Fire Station,Mike,Riach,#574 UCSB Campus Bldg.,carseats@sbcfire.com,,(805) 681-5500,No,2018-08-07 15:09:48+00:00,No,,,
CA,CA and Nationwide,12345,Tot Squad,,,Virtual,,,310-895-9983.,Yes,2021-09-17 19:40:47+00:00,No,,,
CA,Tulare County,93274,"Sit Right CPS, Inc.:",,,Virtual,,,559-529-9897,Yes,2021-09-17 19:50:50+00:00,Yes,,,
CA,San Diego,91950,Pacific Safety Center,Noemi,Duenas,"22 W 35th, Suite 205",,,858-621-2313,Yes,2019-09-23 21:03:33+00:00,No,,,
CA,Simi Valley,93062,"Car Seat Safety People, LLC",Judy,Slattery,P.O. Box 1737,judy@carseatsafetypeople.com,,805-320-9800,No,2017-07-06 18:11:42+00:00,No,Ventura and Los Angeles,,
CA,Burbank,91504,CarSeat911,Marc,Cohen,1317 N San Fernando Blvd. 532,cps@marccohen.net,,818-469-1654,No,2023-10-24 05:12:39+00:00,Yes,,,
CA,Los Angeles,90034,Infant Toddler Youth Safety,Adam,Lari,Palms Blvd,LariAdam@hotmail.com,,818-770-2547,No,2017-07-03 16:26:03+00:00,No,,,
CA,Pasadena,91101,Pro Car Seat Safety Serving Buttercup at El Paseo,Jim,DeCarli,300 E Colorado Blvd,jim@procarseatsafety.com,,3234916197,No,2020-10-14 22:43:32+00:00,No,,,
CA,Pasadena,91101,Pro Car Seat Safety Serving Buttercup at El Paso,Jim,DeCarli,300 Colorado Blvd #157,jim@procarseatsafety.com,,3234916197,No,2020-10-14 22:42:35+00:00,No,,,
CA,Felicity,92283,California Highway Patrol-Winterhaven (620),,,1 Killingsworth Drive,,,760-572-0294,No,2017-07-06 14:02:18+00:00,No,,32.748,-114.758
CA,San Diego,92110,California Highway Patrol-San Diego (645),,,4902 Pacific Highway,,,619-220-5492,No,2017-07-06 13:54:38+00:00,No,,32.764,-117.205
CA,La Mesa,91942,La Mesa Police Department,Julie,Estill,8085 University Avenue,,,619-667-7558,No,2017-07-06 13:41:43+00:00,No,,32.767,-117.024
CA,El Cajon,92021,California Highway Patrol-El Cajon (680),,,1722 East Main Street,,,619-401-2000,No,2017-07-06 13:43:29+00:00,No,,32.813,-116.918
CA,Imperial,92251,California Highway Patrol-El Centro (625),,,2331 Highway 86,,,760-482-2500,No,2017-07-06 14:01:05+00:00,No,,32.82,-115.571
CA,Escondido,92029,National Telehealth Car Seat Call Center at Palomar MC,Jim,DeCarli,2185 Citracado Pkwy,jim@procarseatsafety.com,,3234916197,No,2024-01-18 05:35:28+00:00,No,,33.122,-117.122
